frame_number static_density dynamic_density
1 0.410907 0.214093
4 0.407798 0.147732
7 0.41236 0.119674
10 0.429511 0.109021
13 0.45 0.14131
16 0.464526 0.106753
19 0.474032 0.105046
22 0.466539 0.094317
25 0.461137 0.0946738
28 0.460245 0.112971
31 0.460958 0.124643
34 0.462309 0.132187
37 0.468425 0.137666
40 0.465647 0.141718
43 0.459939 0.139016
46 0.451325 0.142839
49 0.450714 0.121177
52 0.447528 0.119037
55 0.443756 0.126223
58 0.440189 0.0341233
61 0.438201 0.0406218
64 0.437895 0.0117737
67 0.438507 0.0444444
70 0.437207 0.0410041
73 0.438226 0.0285423
76 0.438787 0.0405199
79 0.438226 0.0817023
82 0.439526 0.0527523
85 0.438863 0.0731397
88 0.444929 0.0883792
91 0.447681 0.112615
94 0.457339 0.130301
97 0.462666 0.143833
100 0.475714 0.133818
103 0.488073 0.138507
106 0.490724 0.144164
109 0.488863 0.156193
112 0.489042 0.166718
115 0.483231 0.171483
118 0.48764 0.19261
121 0.493833 0.20739
124 0.499822 0.189016
127 0.507492 0.21287
130 0.512513 0.222197
133 0.517278 0.203517
136 0.524261 0.216284
139 0.523522 0.220005
142 0.518298 0.235499
145 0.508486 0.241769
148 0.503058 0.216845
151 0.498955 0.214551
154 0.495158 0.21998
157 0.490061 0.215469
160 0.487997 0.199924
163 0.485321 0.213507
166 0.483486 0.196738
169 0.482059 0.167278
172 0.476988 0.255046
175 0.474159 0.179256
178 0.474592 0.221024
181 0.474669 0.200841
184 0.475561 0.187615
187 0.474032 0.1329
190 0.473879 0.13657
193 0.473318 0.090265
196 0.474108 0.272604
199 0.474975 0.0760194
202 0.476631 0.0519878
205 0.478542 0.0850663
208 0.477905 0.0288481
211 0.479103 0.111799
214 0.478568 0.0727319
217 0.478338 0.0516055
220 0.477039 0.281397
223 0.476784 0.0553262
226 0.476758 0.114093
229 0.477421 0.0655708
232 0.477778 0.0575433
235 0.478823 0.0555301
238 0.478644 0.0438073
241 0.475484 0.0598624
244 0.475051 0.0260703
247 0.47393 0.122197
250 0.472834 0.0348114
253 0.473191 0.0400612
256 0.473828 0.0140163
259 0.475076 0.0292049
262 0.475586 0.0455658
265 0.475968 0.0653925
268 0.475841 0.0437564
271 0.475535 0.225459
274 0.475204 0.0739806
277 0.474312 0.0401121
280 0.473802 0.0387615
283 0.472528 0.0487513
286 0.472808 0.0464067
289 0.472146 0.0614424
292 0.472069 0.0298675
295 0.473598 0.0421509
298 0.476198 0.0683231
301 0.480071 0.0432212
304 0.481091 0.0566004
307 0.480377 0.033792
310 0.480071 0.07263
313 0.483461 0.0934506
316 0.486315 0.0656218
319 0.486417 0.0814985
322 0.483945 0.170056
325 0.483537 0.117966
328 0.4842 0.11315
331 0.484964 0.141718
334 0.484913 0.0630479
337 0.484684 0.0774465
340 0.485601 0.0692661
343 0.486748 0.0334353
346 0.487105 0.0150357
349 0.490673 0.0204638
352 0.494343 0.0415138
355 0.498267 0.0309123
358 0.500637 0.032212
361 0.501606 0.0307339
364 0.496993 0.0309888
367 0.494011 0.0291794
370 0.48578 0.0431702
373 0.485805 0.036264
376 0.485194 0.0265545
379 0.485907 0.0296891
382 0.48555 0.0385831
385 0.484021 0.0251529
388 0.483028 0.0446228
391 0.481932 0.0752294
394 0.482059 0.0679918
397 0.483588 0.11157
400 0.492074 0.0702345
403 0.500178 0.0753568
406 0.506549 0.0913099
409 0.510321 0.088787
412 0.515673 0.124032
415 0.516157 0.137258
418 0.513761 0.16394
421 0.518629 0.198089
424 0.530148 0.206932
427 0.540877 0.210449
430 0.548904 0.217125
433 0.557671 0.218527
436 0.565316 0.239501
439 0.570285 0.254154
442 0.572528 0.275102
445 0.579613 0.325535
448 0.583155 0.328797
451 0.585729 0.329128
454 0.583792 0.32946
457 0.583028 0.338175
460 0.581881 0.3513
463 0.58815 0.346611
466 0.590189 0.342737
469 0.589985 0.348879
472 0.591565 0.36315
475 0.592176 0.36236
478 0.594011 0.361621
481 0.595362 0.326529
484 0.594139 0.294699
487 0.592712 0.30762
490 0.592482 0.292151
493 0.592151 0.348445
496 0.585754 0.345846
499 0.586595 0.226886
502 0.583079 0.0246432
505 0.579969 0.0625382
508 0.577676 0.0627421
511 0.579613 0.0965851
514 0.583461 0.091896
517 0.587232 0.0921509
520 0.593502 0.113991
523 0.603593 0.0964832
526 0.612844 0.104766
529 0.620591 0.108741
532 0.628033 0.105861
535 0.634811 0.103186
538 0.63866 0.115189
541 0.641616 0.117839
544 0.646407 0.125561
547 0.642304 0.163787
550 0.641106 0.157314
553 0.643858 0.142584
556 0.643833 0.135449
559 0.64159 0.152421
562 0.637207 0.18945
565 0.637946 0.31027
568 0.635245 0.3592
571 0.63262 0.147528
574 0.632365 0.0474261
577 0.633486 0.0614679
580 0.633741 0.0686799
583 0.63341 0.0808868
586 0.635423 0.103415
589 0.638175 0.101962
592 0.643603 0.110347
595 0.648267 0.154817
598 0.653542 0.13713
601 0.658308 0.140189
604 0.66394 0.153619
607 0.670719 0.151656
610 0.673777 0.161137
613 0.677217 0.176147
616 0.680097 0.169241
619 0.681804 0.18606
622 0.683945 0.235066
625 0.685856 0.184608
628 0.685041 0.172197
631 0.687921 0.179867
634 0.688838 0.191335
637 0.690469 0.199363
640 0.6908 0.15051
643 0.688965 0.135245
646 0.687691 0.175866
649 0.688277 0.102599
652 0.688532 0.123751
655 0.687946 0.122401
658 0.686493 0.125153
661 0.685219 0.124516
664 0.684276 0.130301
667 0.683155 0.132238
670 0.681142 0.267635
673 0.681804 0.161799
676 0.681932 0.148089
679 0.68053 0.175076
682 0.678415 0.152039
685 0.677166 0.168553
688 0.676784 0.148216
691 0.677396 0.170056
694 0.67658 0.162411
697 0.676707 0.275433
700 0.677752 0.207798
703 0.677497 0.222069
706 0.674439 0.189373
709 0.674975 0.213252
712 0.67314 0.235703
715 0.673063 0.220031
718 0.672987 0.144648
721 0.669776 0.393603
724 0.670031 0.193578
727 0.670005 0.228542
730 0.67026 0.261672
733 0.668705 0.241004
736 0.668298 0.213889
739 0.6684 0.0367482
742 0.668756 0.0607288
745 0.667661 0.15474
748 0.667864 0.0267329
751 0.668476 0.108028
754 0.667125 0.207671
757 0.666769 0.167482
760 0.668425 0.189832
763 0.66761 0.0915647
766 0.667431 0.110321
769 0.666972 0.0494393
772 0.665571 0.208716
775 0.664934 0.188456
778 0.665902 0.210015
781 0.666514 0.0277268
784 0.665673 0.0366463
787 0.664653 0.031473
790 0.664806 0.0141947
793 0.664042 0.0214577
796 0.662666 0.0625892
799 0.661595 0.0456422
802 0.661901 0.0428389
805 0.661086 0.0555556
808 0.659072 0.0708716
811 0.659276 0.0880989
814 0.660907 0.101555
817 0.661978 0.110907
820 0.660933 0.39238
823 0.662283 0.0629969
826 0.662971 0.062054
829 0.663965 0.114195
832 0.664908 0.05316
835 0.665138 0.10897
838 0.664551 0.119521
841 0.664195 0.0604995
844 0.664806 0.0974261
847 0.66315 0.24396
850 0.664271 0.0563201
853 0.665061 0.0684506
856 0.666157 0.108639
859 0.666718 0.0325433
862 0.666284 0.0694444
865 0.665392 0.11315
868 0.665189 0.0554791
871 0.66738 0.16947
874 0.667915 0.083843
877 0.667074 0.064475
880 0.663863 0.0841488
883 0.663073 0.0339959
886 0.663099 0.0623344
889 0.663863 0.0407747
892 0.665112 0.0240316
895 0.664067 0.0974006
898 0.665367 0.0940622
901 0.665877 0.0562436
904 0.666182 0.0849134
907 0.665494 0.240979
910 0.664781 0.0317788
913 0.664093 0.0728593
916 0.664322 0.0647299
919 0.664628 0.0325178
