frame_number static_density dynamic_density
1 0.144972 0.0998543
4 0.140399 0.0853359
7 0.149495 0.0320468
10 0.159752 0.0448414
13 0.162797 0.0553143
16 0.16534 0.064948
19 0.167069 0.0657872
22 0.165767 0.0709835
25 0.169687 0.0704608
28 0.175607 0.0784512
31 0.179225 0.0830997
34 0.180326 0.0960551
37 0.18128 0.0932911
40 0.182195 0.0919996
43 0.184512 0.0874768
46 0.184004 0.0825318
49 0.184939 0.0737826
52 0.187537 0.0723202
55 0.193507 0.029901
58 0.199111 0.0258003
61 0.204844 0.0305845
64 0.201638 0.0141866
67 0.194794 0.0279964
70 0.189567 0.0213026
73 0.191442 0.0183225
76 0.195075 0.026534
79 0.199181 0.0410021
82 0.208985 0.0451882
85 0.2237 0.0598171
88 0.240816 0.0616915
91 0.252847 0.0740037
94 0.258289 0.0868637
97 0.256757 0.0895623
100 0.258616 0.0842304
103 0.258717 0.0785065
106 0.250163 0.0955174
109 0.245243 0.0956983
112 0.250977 0.0961958
115 0.258048 0.114498
118 0.264114 0.125107
121 0.262641 0.134967
124 0.260772 0.131559
127 0.260988 0.128162
130 0.262174 0.133982
133 0.26341 0.139173
136 0.266405 0.151691
139 0.26926 0.141118
142 0.269581 0.150319
145 0.27032 0.157953
148 0.270918 0.1366
151 0.268687 0.133414
154 0.267028 0.113493
157 0.263365 0.137504
160 0.260882 0.126388
163 0.259028 0.128951
166 0.25747 0.127529
169 0.256611 0.12379
172 0.252455 0.145766
175 0.251993 0.106563
178 0.250721 0.127886
181 0.251415 0.104654
184 0.250736 0.0969596
187 0.249565 0.0848535
190 0.25044 0.0841148
193 0.249269 0.035047
196 0.251922 0.0551033
199 0.25239 0.0443439
202 0.253003 0.0221519
205 0.254033 0.028318
208 0.253952 0.0158752
211 0.254651 0.0441932
214 0.253902 0.0345997
217 0.252927 0.0260063
220 0.25338 0.10392
223 0.252696 0.0318257
226 0.252741 0.029906
229 0.253168 0.0400121
232 0.253279 0.0283381
235 0.254581 0.0364189
238 0.253505 0.0181667
241 0.249907 0.0223931
244 0.250902 0.0131564
247 0.247852 0.0267049
250 0.248676 0.019207
253 0.248103 0.0140409
256 0.248329 0.0108196
259 0.247806 0.00993015
262 0.248068 0.0288658
265 0.248907 0.0380421
268 0.249148 0.01981
271 0.247671 0.116423
274 0.24759 0.0223981
277 0.251897 0.0241268
280 0.257862 0.0140108
283 0.264184 0.0228353
286 0.270833 0.033459
289 0.271582 0.0390422
292 0.266456 0.0318609
295 0.260676 0.0258355
298 0.25538 0.0411227
301 0.252616 0.0151766
304 0.251882 0.030288
307 0.252686 0.0253983
310 0.25536 0.0375044
313 0.255149 0.0222775
316 0.25244 0.0367054
319 0.24851 0.0416805
322 0.247842 0.0978793
325 0.248872 0.0500879
328 0.248636 0.0737374
331 0.249188 0.0541836
334 0.248862 0.0391226
337 0.248249 0.0280416
340 0.249565 0.0112166
343 0.252264 0.0206292
346 0.254752 0.0189658
349 0.256013 0.0197598
352 0.253053 0.0254334
355 0.252671 0.0215136
358 0.253093 0.0200111
361 0.252927 0.0180612
364 0.252696 0.0187246
367 0.252736 0.0174984
370 0.251008 0.0341374
373 0.250691 0.0178451
376 0.250425 0.01684
379 0.25058 0.0174381
382 0.251726 0.0203176
385 0.255701 0.0181818
388 0.260561 0.0250766
391 0.264988 0.0383788
394 0.265722 0.0395296
397 0.264998 0.0372381
400 0.264471 0.0376351
403 0.265626 0.037615
406 0.272295 0.0477461
409 0.282024 0.0630986
412 0.29307 0.0825117
415 0.306111 0.0977738
418 0.316719 0.11884
421 0.321001 0.142223
424 0.331816 0.173039
427 0.34458 0.19105
430 0.35438 0.204794
433 0.365405 0.220252
436 0.377346 0.233323
439 0.383864 0.230574
442 0.386572 0.248002
445 0.38419 0.272401
448 0.387658 0.275325
451 0.390326 0.280451
454 0.394879 0.287673
457 0.39699 0.284512
460 0.399065 0.293573
463 0.402483 0.297849
466 0.402457 0.284472
469 0.400709 0.286602
472 0.401628 0.307206
475 0.400583 0.300734
478 0.398161 0.289025
481 0.396648 0.273813
484 0.395653 0.267023
487 0.395135 0.243535
490 0.393427 0.258737
493 0.393839 0.29117
496 0.392924 0.181069
499 0.394467 0.00781949
502 0.404357 0.0132972
505 0.417941 0.0329363
508 0.431052 0.0511232
511 0.440801 0.0659179
514 0.446912 0.0694005
517 0.455797 0.0648374
520 0.473401 0.0822604
523 0.480974 0.0660536
526 0.487331 0.0719684
529 0.490512 0.0774059
532 0.494452 0.0770491
535 0.49703 0.0782351
538 0.498015 0.0855018
541 0.499196 0.0863661
544 0.500859 0.100779
547 0.501618 0.134575
550 0.498809 0.108377
553 0.495653 0.103794
556 0.493155 0.0930599
559 0.491301 0.109614
562 0.488874 0.133263
565 0.484512 0.213981
568 0.482301 0.243123
571 0.485321 0.104447
574 0.488633 0.0274134
577 0.49307 0.0333032
580 0.498613 0.0421026
583 0.505116 0.0346952
586 0.510599 0.0579376
589 0.515307 0.0592743
592 0.519664 0.0665059
595 0.534479 0.0835871
598 0.545053 0.0684909
601 0.553952 0.0711242
604 0.560415 0.0755113
607 0.570551 0.0902709
610 0.585009 0.0930901
613 0.594975 0.0963214
616 0.60195 0.102166
619 0.607031 0.1148
622 0.623931 0.150013
625 0.626313 0.130419
628 0.628343 0.125755
631 0.634203 0.125001
634 0.637806 0.131383
637 0.639499 0.129991
640 0.640354 0.106327
643 0.640007 0.0848636
646 0.646022 0.151274
649 0.647279 0.0776722
652 0.650465 0.0806322
655 0.652068 0.0814262
658 0.653143 0.0825418
661 0.654158 0.0959998
664 0.656053 0.0968742
667 0.65638 0.0837077
670 0.654169 0.152118
673 0.655113 0.10891
676 0.656008 0.112131
679 0.65837 0.116383
682 0.66033 0.10799
685 0.661501 0.109026
688 0.661139 0.108704
691 0.661661 0.11284
694 0.662857 0.105724
697 0.668355 0.223378
700 0.668265 0.150701
703 0.668461 0.0931253
706 0.669034 0.108161
709 0.670365 0.116287
712 0.672647 0.0903814
715 0.673657 0.0232022
718 0.676667 0.082974
721 0.687472 0.214312
724 0.687422 0.0781597
727 0.68721 0.121499
730 0.686557 0.126459
733 0.685788 0.0997437
736 0.6871 0.0509975
739 0.687894 0.0145535
742 0.689135 0.0218855
745 0.693603 0.180728
748 0.693889 0.00910599
751 0.696105 0.0353937
754 0.698306 0.0516709
757 0.697703 0.0667823
760 0.697372 0.0707422
763 0.699764 0.0319212
766 0.701402 0.0325041
769 0.702447 0.0179456
772 0.715513 0.136308
775 0.715684 0.0964973
778 0.716604 0.0344841
781 0.715418 0.0218956
784 0.715262 0.00890497
787 0.71494 0.0197146
790 0.714066 0.0108548
793 0.714227 0.0126841
796 0.708845 0.0507764
799 0.710116 0.0265591
802 0.709382 0.0341575
805 0.708428 0.0408563
808 0.706804 0.0504196
811 0.706819 0.067124
814 0.718026 0.0603749
817 0.724479 0.0867632
820 0.741359 0.114599
823 0.74259 0.0201518
826 0.74856 0.0397809
829 0.75249 0.0478567
832 0.754535 0.0193427
835 0.755385 0.0147445
838 0.75551 0.0406704
841 0.756405 0.0284587
844 0.75747 0.0367556
847 0.759812 0.153495
850 0.759872 0.0227951
853 0.759882 0.0330017
856 0.758943 0.0259109
859 0.75834 0.0230162
862 0.758038 0.0347203
865 0.757656 0.0670436
868 0.756601 0.0410875
871 0.756978 0.112845
874 0.757028 0.0567817
877 0.756154 0.0525655
880 0.753701 0.0516257
883 0.754028 0.0625408
886 0.754189 0.0200513
889 0.754837 0.0220966
892 0.754405 0.0185889
895 0.754214 0.049706
898 0.756023 0.0485502
901 0.756701 0.0215488
904 0.757174 0.03465
907 0.758103 0.180698
910 0.758299 0.0185386
913 0.756857 0.0139555
916 0.755576 0.0166491
919 0.753073 0.01783
922 0.752952 0.0195035
925 0.753113 0.0235891
928 0.753611 0.0288859
931 0.751585 0.105111
934 0.751802 0.0581537
937 0.752746 0.0120408
940 0.754746 0.019016
943 0.755902 0.0202121
946 0.756807 0.0229107
949 0.756676 0.0355093
952 0.756174 0.0304035
955 0.756681 0.0787276
958 0.756043 0.0365395
961 0.754882 0.0569024
964 0.754214 0.0665159
967 0.7544 0.0784361
970 0.753354 0.0119353
973 0.752686 0.0152973
976 0.752867 0.0203628
979 0.753535 0.0139002
982 0.756063 0.0419921
985 0.756842 0.0266747
988 0.755671 0.0228001
991 0.754143 0.0330971
994 0.753978 0.0302377
997 0.753485 0.00704055
1000 0.754194 0.013664
1003 0.754958 0.0246143
1006 0.754003 0.0710639
1009 0.754138 0.0425951
1012 0.751907 0.0404945
1015 0.750535 0.0325946
1018 0.750641 0.0336349
1021 0.750118 0.0341927
1024 0.749038 0.0400774
1027 0.748992 0.0347706
1030 0.751033 0.0301422
1033 0.748535 0.0402784
1036 0.749857 0.0880798
1039 0.749631 0.0585356
1042 0.749259 0.0445098
1045 0.749475 0.0384843
1048 0.750188 0.0418564
1051 0.75052 0.0354792
1054 0.749827 0.0416001
1057 0.74957 0.0335746
1060 0.750028 0.0309161
1063 0.746646 0.14054
1066 0.746857 0.0255038
1069 0.747028 0.0333786
1072 0.74753 0.0281371
1075 0.747208 0.0327102
1078 0.747229 0.0247299
1081 0.747153 0.0257902
1084 0.748239 0.0330519
1087 0.752168 0.0804261
1090 0.75153 0.0251621
1093 0.75253 0.0308357
1096 0.752641 0.0355093
1099 0.752787 0.0296397
1102 0.752304 0.0296497
1105 0.751555 0.0268204
1108 0.751173 0.0289914
1111 0.751656 0.0902005
1114 0.751234 0.0377255
1117 0.751033 0.0322579
1120 0.750993 0.0345444
1123 0.750616 0.0347053
1126 0.750465 0.0288457
1129 0.748796 0.0303834
1132 0.74747 0.0308005
1135 0.746857 0.0464043
1138 0.747832 0.0454143
1141 0.74955 0.0359214
1144 0.748349 0.0302075
1147 0.746681 0.0280316
1150 0.747028 0.0286748
1153 0.748962 0.0324187
1156 0.749098 0.0393789
1159 0.747987 0.0424192
1162 0.744334 0.0688929
1165 0.745781 0.0401427
1168 0.747917 0.0330821
1171 0.749138 0.0283482
1174 0.749842 0.0421026
1177 0.749666 0.0391929
1180 0.749751 0.0373788
1183 0.750279 0.0341123
1186 0.754535 0.0795819
1189 0.755852 0.0317805
1192 0.754902 0.0316247
1195 0.75551 0.017619
1198 0.755943 0.0266245
1201 0.756405 0.0145233
1204 0.756465 0.0552792
1207 0.754505 0.0130208
1210 0.754108 0.00982964
1213 0.753058 0.099211
1216 0.75252 0.0209709
1219 0.752666 0.115669
1222 0.753078 0.0887683
1225 0.753018 0.0324288
1228 0.752606 0.0211568
1231 0.752189 0.0245439
1234 0.752239 0.0315946
1237 0.752284 0.0404744
1240 0.751068 0.0242022
1243 0.751631 0.0285592
1246 0.753837 0.0337102
1249 0.75437 0.0258455
1252 0.753073 0.0281723
1255 0.753033 0.0346048
1258 0.751993 0.0330469
1261 0.754656 0.11986
1264 0.755159 0.0216745
1267 0.754556 0.0231469
1270 0.754224 0.0197045
1273 0.752877 0.0167144
1276 0.7535 0.0354138
1279 0.752465 0.031293
1282 0.752078 0.0343786
1285 0.752289 0.0254033
1288 0.751068 0.0492487
1291 0.751485 0.0372079
1294 0.751807 0.0247902
1297 0.751309 0.0463189
1300 0.75143 0.0310619
1303 0.750696 0.0303131
1306 0.749872 0.0281421
1309 0.749304 0.0156239
1312 0.7475 0.0189356
1315 0.747264 0.0286999
1318 0.747429 0.0244183
1321 0.746786 0.0287351
1324 0.746088 0.0483592
1327 0.74552 0.0249259
1330 0.74547 0.0185889
1333 0.745264 0.0254988
1336 0.748882 0.133831
1339 0.748415 0.08713
1342 0.747419 0.0478316
1345 0.747701 0.0533796
1348 0.746902 0.0470727
1351 0.746042 0.0388713
1354 0.746399 0.0460274
1357 0.746435 0.0428765
1360 0.746907 0.0430323
1363 0.741263 0.0745716
1366 0.740806 0.0468818
1369 0.741203 0.0452033
1372 0.742615 0.0434997
1375 0.742681 0.0374994
1378 0.741816 0.0274285
1381 0.74252 0.0366149
1384 0.741791 0.0321725
1387 0.746384 0.0432132
1390 0.745711 0.0300769
1393 0.744932 0.0284286
1396 0.744223 0.00752299
1399 0.742997 0.0261822
1402 0.743103 0.00280919
1405 0.743007 0.0201518
1408 0.742299 0.0232977
1411 0.740655 0.0341273
1414 0.740982 0.0377758
1417 0.741721 0.061792
1420 0.74164 0.0728931
1423 0.741927 0.122514
1426 0.742133 0.0956933
1429 0.743138 0.0538419
1432 0.743208 0.0866727
1435 0.74267 0.129303
1438 0.742138 0.213428
1441 0.740721 0.206588
1444 0.73963 0.262435
1447 0.739952 0.327675
1450 0.741148 0.11783
1453 0.740459 0.33563
1456 0.741912 0.343027
1459 0.744173 0.356324
1462 0.740871 0.375099
1465 0.741047 0.336283
1468 0.743706 0.304759
1471 0.744088 0.325449
1474 0.750812 0.105352
1477 0.750661 0.170486
1480 0.753847 0.161591
1483 0.751766 0.0621388
1486 0.753716 0.043364
1489 0.756852 0.253008
1492 0.756324 0.391005
1495 0.757807 0.449214
1498 0.76429 0.361576
1501 0.772481 0.330353
1504 0.778738 0.0972612
1507 0.782461 0.423222
1510 0.789954 0.614966
1513 0.794186 0.574984
1516 0.776185 0.486492
1519 0.775526 0.214528
1522 0.752716 0.23963
1525 0.749611 0.515961
1528 0.750591 0.520845
1531 0.750028 0.241806
1534 0.745585 0.574773
1537 0.745108 0.654123
1540 0.74055 0.638766
1543 0.737725 0.35443
1546 0.740444 0.62665
1549 0.747681 0.637394
1552 0.716569 0.626725
1555 0.707629 0.559762
1558 0.699553 0.679994
1561 0.694618 0.657224
1564 0.696206 0.685668
1567 0.69006 0.670933
1570 0.688929 0.636781
1573 0.682321 0.654093
1576 0.690175 0.62188
1579 0.699829 0.631981
1582 0.70202 0.628298
1585 0.711377 0.52476
1588 0.712815 0.368119
1591 0.71297 0.385065
1594 0.710186 0.630373
1597 0.708764 0.677019
1600 0.704518 0.717594
1603 0.697171 0.697945
1606 0.684527 0.713368
1609 0.6693 0.718081
1612 0.670707 0.665652
1615 0.664003 0.672406
1618 0.662174 0.662541
1621 0.652204 0.678753
1624 0.634273 0.653676
1627 0.630911 0.669868
1630 0.630589 0.6584
1633 0.631253 0.685637
1636 0.621484 0.685135
1639 0.623664 0.675486
1642 0.631484 0.653686
1645 0.637761 0.65141
1648 0.63954 0.622951
1651 0.644304 0.631559
1654 0.647932 0.620473
1657 0.640193 0.596502
1660 0.634514 0.59811
1663 0.63161 0.600598
1666 0.631193 0.632871
1669 0.632172 0.589954
1672 0.631394 0.483647
1675 0.628529 0.651681
1678 0.628504 0.516463
1681 0.639474 0.493105
1684 0.647259 0.497588
1687 0.647138 0.618745
1690 0.647997 0.508689
1693 0.65245 0.0565908
1696 0.653802 0.61495
1699 0.660526 0.633544
1702 0.668606 0.62762
1705 0.674361 0.618162
1708 0.672622 0.627192
1711 0.675501 0.602065
