frame_number static_density dynamic_density
1 0.0700996 0.115039
4 0.0688721 0.112491
7 0.0775018 0.1151
10 0.0860464 0.112973
13 0.0905155 0.118767
16 0.0944048 0.131209
19 0.0970909 0.100689
22 0.0997892 0.161843
25 0.102824 0.106782
28 0.107649 0.139426
31 0.110684 0.0936917
34 0.112333 0.10209
37 0.113642 0.0884086
40 0.11493 0.0924277
43 0.116303 0.105915
46 0.117381 0.123653
49 0.118208 0.152119
52 0.120926 0.0999069
55 0.12766 0.0830321
58 0.132603 0.0833521
61 0.135078 0.0750466
64 0.130646 0.0660805
67 0.126692 0.0601531
70 0.121364 0.125022
73 0.123386 0.0671987
76 0.125885 0.0564419
79 0.129686 0.0749778
82 0.136869 0.0868648
85 0.148805 0.0925978
88 0.160611 0.0914432
91 0.173544 0.103675
94 0.179512 0.109322
97 0.185532 0.213322
100 0.185718 0.129941
103 0.184381 0.128843
106 0.179102 0.131622
109 0.180439 0.124844
112 0.186646 0.124265
115 0.192586 0.138854
118 0.196759 0.141492
121 0.197354 0.151272
124 0.198335 0.132121
127 0.199574 0.138088
130 0.202759 0.135147
133 0.20583 0.138789
136 0.210554 0.154238
139 0.214772 0.159497
142 0.216384 0.152253
145 0.218276 0.168544
148 0.216631 0.145527
151 0.215347 0.146767
154 0.212762 0.149437
157 0.208865 0.165902
160 0.206316 0.131594
163 0.204331 0.163419
166 0.202224 0.162706
169 0.201155 0.134511
172 0.199319 0.168171
175 0.198367 0.137416
178 0.197488 0.118362
181 0.197982 0.120979
184 0.197561 0.115217
187 0.196147 0.123078
190 0.196439 0.136889
193 0.195782 0.113682
196 0.196346 0.172458
199 0.196167 0.0922657
202 0.196094 0.104825
205 0.196803 0.0901385
208 0.196467 0.0767482
211 0.196637 0.104655
214 0.196297 0.0920185
217 0.195705 0.0643423
220 0.197824 0.168507
223 0.197306 0.11083
226 0.197022 0.090726
229 0.196799 0.0951017
232 0.197156 0.0682926
235 0.198241 0.0895672
238 0.197289 0.0897617
241 0.195713 0.0541447
244 0.196957 0.0836967
247 0.195187 0.106936
250 0.194834 0.0926343
253 0.194194 0.0837452
256 0.194312 0.0858115
259 0.194502 0.0752977
262 0.194328 0.119224
265 0.194595 0.0843003
268 0.194336 0.0852606
271 0.192991 0.143878
274 0.192768 0.122162
277 0.196731 0.0775423
280 0.201426 0.0720404
283 0.207244 0.0790536
286 0.213273 0.0768496
289 0.212548 0.0665586
292 0.210299 0.0491127
295 0.207657 0.140758
298 0.203095 0.0953164
301 0.199955 0.100855
304 0.197921 0.0928734
307 0.197261 0.0786078
310 0.197508 0.0877522
313 0.196512 0.0742769
316 0.197059 0.0820596
319 0.195146 0.0825501
322 0.195543 0.148408
325 0.195973 0.110959
328 0.196188 0.103642
331 0.196216 0.0986791
334 0.196321 0.0793897
337 0.196114 0.0835144
340 0.196803 0.0756583
343 0.199259 0.0409772
346 0.201564 0.110814
349 0.202492 0.0718863
352 0.201272 0.0436391
355 0.200932 0.0591849
358 0.200981 0.0771211
361 0.200912 0.0661656
364 0.20064 0.0686249
367 0.199935 0.0590794
370 0.198197 0.137785
373 0.19767 0.150357
376 0.197107 0.091516
379 0.196479 0.121364
382 0.197492 0.0579936
385 0.201037 0.0740662
388 0.203428 0.08144
391 0.2072 0.11081
394 0.208942 0.0972937
397 0.212268 0.131752
400 0.21303 0.137347
403 0.214934 0.106203
406 0.221554 0.0769144
409 0.231553 0.0755974
412 0.241832 0.102066
415 0.254023 0.111551
418 0.264901 0.126108
421 0.271667 0.197059
424 0.284021 0.151755
427 0.296775 0.170922
430 0.306608 0.169804
433 0.316769 0.186739
436 0.327145 0.198464
439 0.331784 0.238117
442 0.334053 0.243064
445 0.338409 0.283871
448 0.344855 0.271044
451 0.351613 0.272749
454 0.356527 0.283879
457 0.361652 0.277595
460 0.364302 0.284503
463 0.367336 0.28317
466 0.367434 0.276914
469 0.367017 0.274625
472 0.37042 0.312073
475 0.370152 0.279977
