frame_number static_density dynamic_density
1 0.203422 0.120242
4 0.204701 0.0961768
7 0.210891 0.100846
10 0.218378 0.0649873
13 0.219071 0.0696056
16 0.220172 0.0650318
19 0.221877 0.0636005
22 0.219936 0.0605852
25 0.222525 0.0632316
28 0.227704 0.0748537
31 0.23014 0.0850254
34 0.229803 0.0782252
37 0.231788 0.0972519
40 0.23409 0.0963359
43 0.236304 0.0944084
46 0.238569 0.0896438
49 0.239338 0.0809669
52 0.241158 0.0761005
55 0.247805 0.0816412
58 0.253454 0.0220738
61 0.259669 0.0290967
64 0.257614 0.0127354
67 0.252894 0.0256489
70 0.244071 0.0215331
73 0.245598 0.0188868
76 0.247449 0.0267557
79 0.252023 0.0422137
82 0.26166 0.0446374
85 0.274701 0.0593957
88 0.292366 0.0713168
91 0.304084 0.0781234
94 0.310083 0.0911832
97 0.310197 0.0918639
100 0.311711 0.0874173
103 0.312303 0.08514
106 0.30605 0.100802
109 0.301272 0.103384
112 0.303594 0.100127
115 0.30881 0.11117
118 0.313658 0.121406
121 0.311934 0.136609
124 0.30986 0.130611
127 0.31014 0.127214
130 0.310941 0.144434
133 0.312659 0.138429
136 0.315954 0.159154
139 0.318282 0.158556
142 0.318982 0.164981
145 0.319001 0.168702
148 0.317347 0.147748
151 0.316253 0.141603
154 0.313041 0.138524
157 0.309657 0.139987
160 0.307335 0.129198
163 0.304981 0.138887
166 0.303537 0.138391
169 0.302958 0.127691
172 0.299994 0.151864
175 0.298123 0.109758
178 0.297411 0.136533
181 0.298969 0.102106
184 0.29883 0.0975509
187 0.296997 0.0863168
190 0.296571 0.0816094
193 0.296718 0.0463486
196 0.298868 0.0492684
199 0.299218 0.0437595
202 0.300439 0.0236641
205 0.301444 0.0363804
208 0.30112 0.0166031
211 0.301985 0.0526272
214 0.301775 0.0394275
217 0.301037 0.0271056
220 0.299453 0.125076
223 0.299606 0.0354962
226 0.299784 0.0446183
229 0.299866 0.044173
232 0.300305 0.0328499
235 0.301234 0.0300191
238 0.300973 0.0177417
241 0.297793 0.0244211
244 0.29881 0.0137723
247 0.295897 0.0304707
250 0.295617 0.0205789
253 0.296495 0.0155662
256 0.2961 0.0112214
259 0.296202 0.0104453
262 0.296692 0.0308779
265 0.29659 0.0402481
268 0.29652 0.0230789
271 0.296011 0.117347
274 0.295833 0.0269148
277 0.298569 0.0228117
280 0.304777 0.0269211
283 0.311444 0.0329517
286 0.318333 0.0349491
289 0.322246 0.0390712
292 0.317939 0.0165967
295 0.310802 0.0155025
298 0.30542 0.0486323
301 0.301807 0.0159606
304 0.300515 0.0358015
307 0.301775 0.0286387
310 0.304892 0.0433333
313 0.305267 0.039612
316 0.305738 0.0402163
319 0.300337 0.0454135
322 0.299148 0.0930343
325 0.30007 0.0537977
328 0.298989 0.0819084
331 0.299218 0.0593639
334 0.299103 0.0434288
337 0.298938 0.0285114
340 0.300178 0.0115076
343 0.302983 0.0228817
346 0.305401 0.0214695
349 0.307532 0.0271692
352 0.305057 0.0282125
355 0.304084 0.0227163
358 0.304033 0.0203371
361 0.304027 0.0196374
364 0.303581 0.0191158
367 0.302824 0.0181107
370 0.299612 0.0329389
373 0.299892 0.0188168
376 0.299504 0.0177863
379 0.298995 0.0190013
382 0.300153 0.0224746
385 0.304701 0.0261578
388 0.310254 0.0336578
391 0.31577 0.0531298
394 0.316355 0.0499936
397 0.316756 0.0616221
400 0.316221 0.0506934
403 0.315948 0.0517812
406 0.321139 0.0590712
409 0.331183 0.064771
412 0.340903 0.0820356
415 0.354097 0.0928435
418 0.366113 0.122258
421 0.370452 0.140184
424 0.382576 0.166132
427 0.39369 0.163753
430 0.405827 0.176915
433 0.416768 0.184784
436 0.427627 0.205184
439 0.43152 0.215655
442 0.435184 0.239663
445 0.43348 0.281584
448 0.436476 0.284008
451 0.439618 0.287646
454 0.443187 0.294256
457 0.44416 0.292411
460 0.445903 0.301883
463 0.448473 0.304517
466 0.450623 0.292875
469 0.451813 0.291253
472 0.452513 0.320433
475 0.451107 0.311832
478 0.448664 0.298715
481 0.447888 0.283365
484 0.447036 0.271151
487 0.446539 0.252373
490 0.444517 0.279466
493 0.443957 0.288467
496 0.443454 0.160248
499 0.444574 0.142277
502 0.453155 0.020916
505 0.465534 0.0518003
508 0.475617 0.0572964
511 0.485802 0.0723919
514 0.491743 0.0715649
517 0.499536 0.0660433
520 0.512067 0.0850191
523 0.521228 0.0690712
526 0.528098 0.0747137
529 0.532487 0.0808842
532 0.536559 0.0806298
535 0.539523 0.0781743
538 0.540719 0.0838422
541 0.542303 0.0823855
544 0.542723 0.102099
547 0.543384 0.135102
550 0.539752 0.113378
553 0.536934 0.107761
556 0.535324 0.095617
559 0.533244 0.104319
562 0.530897 0.143429
565 0.528416 0.216845
568 0.526686 0.266444
571 0.5293 0.1532
574 0.532163 0.0118193
577 0.537443 0.038187
580 0.544491 0.0427926
583 0.55131 0.0360814
586 0.558022 0.053416
589 0.563543 0.0642239
592 0.568384 0.0784669
595 0.582977 0.118155
598 0.597036 0.091883
601 0.607386 0.0860114
604 0.614408 0.0920483
607 0.624924 0.090229
610 0.638728 0.0986132
613 0.646641 0.104497
616 0.65334 0.112398
619 0.658378 0.123352
622 0.674135 0.158162
625 0.676043 0.137322
628 0.677373 0.132958
631 0.684014 0.137837
634 0.686718 0.142856
637 0.689542 0.140515
640 0.690681 0.123028
643 0.691692 0.0938232
646 0.695433 0.159097
649 0.695509 0.0781425
652 0.697176 0.0842494
655 0.698486 0.0841857
658 0.699135 0.088416
661 0.699892 0.0981107
664 0.701081 0.0987405
667 0.702316 0.0874682
670 0.702869 0.14021
673 0.704408 0.102863
676 0.705229 0.116151
679 0.706228 0.12521
682 0.707125 0.113111
685 0.708015 0.115165
688 0.708123 0.112443
691 0.708613 0.114911
694 0.70902 0.109663
697 0.711832 0.170687
700 0.711883 0.166399
703 0.712894 0.10619
706 0.713893 0.125655
709 0.714338 0.106718
712 0.716342 0.0920865
715 0.717691 0.0283779
718 0.718715 0.0900509
721 0.721215 0.227296
724 0.721018 0.0828308
727 0.721788 0.122443
730 0.721603 0.151565
733 0.721743 0.169911
736 0.722812 0.0566603
739 0.724536 0.016126
742 0.725617 0.0216031
745 0.729103 0.183435
748 0.729262 0.0112023
751 0.729383 0.0387086
754 0.729478 0.0564695
757 0.729256 0.103779
