frame_number static_density dynamic_density
1 0.280714 0.142773
4 0.286811 0.116994
7 0.304517 0.049379
10 0.324164 0.0457656
13 0.329336 0.0683153
16 0.329652 0.0793135
19 0.328738 0.0715334
22 0.327304 0.0622742
25 0.330104 0.066486
28 0.334948 0.0852981
31 0.339149 0.0999887
34 0.337624 0.120607
37 0.330906 0.11748
40 0.324729 0.112342
43 0.32325 0.107622
46 0.321093 0.103997
49 0.322177 0.0983062
52 0.322064 0.093304
55 0.322256 0.0354788
58 0.32325 0.0276649
61 0.32893 0.0362692
64 0.330623 0.0221771
67 0.330827 0.0329155
70 0.325248 0.027439
73 0.320257 0.0236563
76 0.317717 0.0356369
79 0.315312 0.0558491
82 0.313889 0.0542118
85 0.326095 0.0741644
88 0.342626 0.0752258
91 0.360321 0.0927055
94 0.376953 0.109575
97 0.385693 0.112963
100 0.39152 0.11696
103 0.388302 0.10551
106 0.381606 0.112082
109 0.384124 0.126129
112 0.38776 0.121737
115 0.389171 0.139476
118 0.392683 0.158322
121 0.394286 0.177529
124 0.390334 0.169749
127 0.387997 0.173882
130 0.387116 0.180872
133 0.387489 0.177902
136 0.387805 0.191079
139 0.387455 0.189521
142 0.38505 0.192785
145 0.37841 0.192254
148 0.377078 0.171116
151 0.375 0.166859
154 0.371409 0.16364
157 0.366283 0.168564
160 0.365075 0.157475
163 0.363031 0.166972
166 0.361777 0.160603
169 0.359609 0.142581
172 0.359632 0.169828
175 0.358119 0.160592
178 0.357328 0.16372
181 0.356651 0.152654
184 0.355883 0.128263
187 0.355476 0.0999322
190 0.354268 0.094659
193 0.354449 0.0654359
196 0.349989 0.0539634
199 0.350282 0.0582204
202 0.350282 0.029178
205 0.351366 0.0485998
208 0.351084 0.0193993
211 0.351355 0.067028
214 0.351231 0.0528455
217 0.351152 0.0312444
220 0.350327 0.140504
223 0.350531 0.0376355
226 0.350508 0.0634937
229 0.351208 0.0554652
232 0.351434 0.0394986
235 0.352665 0.0459124
238 0.352202 0.0260614
241 0.353094 0.0363595
244 0.352676 0.0106143
247 0.351886 0.0375677
250 0.351615 0.0288844
253 0.351016 0.0196929
256 0.350994 0.0168586
259 0.351118 0.0145664
262 0.351366 0.0359643
265 0.350802 0.0539521
268 0.350463 0.0245032
271 0.349006 0.163528
274 0.349413 0.0425248
277 0.348747 0.0321816
280 0.348735 0.0154133
283 0.354189 0.0201671
286 0.362421 0.0319783
289 0.369286 0.0484192
292 0.37526 0.0420506
295 0.37614 0.0307136
298 0.367818 0.0574977
301 0.359722 0.0349819
304 0.352744 0.0429201
307 0.35122 0.0321251
310 0.353738 0.0531278
313 0.357475 0.0328365
316 0.360569 0.0536247
319 0.360637 0.0551603
322 0.360806 0.131244
325 0.358198 0.0779246
328 0.357227 0.110524
331 0.356956 0.0967931
334 0.356843 0.05778
337 0.356809 0.0287376
340 0.356843 0.0176039
343 0.360332 0.0265244
346 0.363821 0.0216463
349 0.36967 0.0228997
352 0.372042 0.0309169
355 0.372358 0.0269422
358 0.371398 0.0244128
361 0.369365 0.0237127
364 0.367288 0.0231594
367 0.365594 0.0223351
370 0.361698 0.035603
373 0.360908 0.0234304
376 0.360061 0.0214657
379 0.359022 0.0253162
382 0.359824 0.0301152
385 0.359338 0.0253388
388 0.365199 0.0349029
391 0.372945 0.0457204
394 0.382961 0.0578026
397 0.391249 0.0651197
400 0.391926 0.0415876
403 0.388878 0.0537037
406 0.382599 0.0707995
