frame_number static_density dynamic_density
1 0.076128 0.0723798
4 0.0657069 0.0877985
7 0.0544055 0.0657921
10 0.0467672 0.0457733
13 0.0391856 0.0313201
16 0.0345288 0.0396967
19 0.0331374 0.0534117
22 0.0742255 0.0581821
25 0.140074 0.100065
28 0.199875 0.141977
31 0.20297 0.160491
34 0.18971 0.148707
37 0.179629 0.194338
40 0.180282 0.216373
43 0.189511 0.216146
46 0.192719 0.197206
49 0.181816 0.175512
52 0.177102 0.163756
55 0.181958 0.17182
58 0.178351 0.171849
61 0.182242 0.164864
64 0.178295 0.0807565
67 0.183463 0.0872022
70 0.187268 0.057813
73 0.18971 0.0539512
76 0.184456 0.062697
79 0.182582 0.0607093
82 0.180112 0.0527302
85 0.180396 0.0487549
88 0.179658 0.0441264
91 0.180595 0.0399239
94 0.178806 0.0375387
97 0.173325 0.112843
100 0.171962 0.0730613
103 0.171764 0.121305
106 0.171764 0.0747082
109 0.173439 0.0310361
112 0.194196 0.0432746
115 0.225885 0.0830281
118 0.254849 0.124372
121 0.268081 0.171224
124 0.278133 0.203879
127 0.285232 0.230826
130 0.295567 0.205157
133 0.300764 0.257887
136 0.306869 0.254423
139 0.31587 0.246926
142 0.333106 0.278644
145 0.378084 0.17909
148 0.381549 0.182753
151 0.384757 0.153789
154 0.379817 0.161768
157 0.37215 0.213533
160 0.373939 0.218701
163 0.373683 0.230372
166 0.369963 0.218446
169 0.365761 0.21572
172 0.365534 0.214357
175 0.359798 0.213704
178 0.357327 0.188801
181 0.358037 0.219865
184 0.355993 0.00812108
187 0.350257 0.166028
190 0.349263 0.217196
193 0.351024 0.22827
196 0.352358 0.301928
199 0.354062 0.166936
202 0.35551 0.161626
205 0.358406 0.0645427
208 0.359997 0.0348411
211 0.362382 0.0883948
214 0.364682 0.0459437
217 0.367976 0.0334781
220 0.377687 0.278956
223 0.38047 0.150041
226 0.38118 0.050345
229 0.381691 0.0510833
232 0.384189 0.0615612
235 0.383962 0.0263509
238 0.381776 0.0394412
241 0.376296 0.0375387
244 0.375529 0.0211262
247 0.367777 0.199705
250 0.368487 0.0966011
253 0.368288 0.0929381
256 0.3663 0.102536
259 0.365505 0.0985036
262 0.364994 0.0631797
265 0.364369 0.0355794
268 0.363461 0.131925
271 0.36153 0.156998
274 0.361445 0.240196
277 0.360905 0.141977
280 0.360139 0.08848
283 0.361218 0.095948
286 0.360934 0.136923
289 0.360962 0.0920294
292 0.360877 0.0371979
295 0.357498 0.165403
298 0.359258 0.100605
301 0.360621 0.113667
304 0.362637 0.0653378
307 0.365874 0.078854
310 0.370191 0.0595167
313 0.385013 0.0892751
316 0.398898 0.0955788
319 0.399154 0.0914047
322 0.407474 0.089417
325 0.408496 0.0620439
328 0.407701 0.0964023
331 0.409234 0.103558
334 0.408155 0.09078
337 0.407956 0.0678933
340 0.40719 0.026067
343 0.399892 0.0574722
346 0.390238 0.107391
349 0.390749 0.081296
352 0.388364 0.0322571
355 0.387199 0.0589488
358 0.384871 0.110856
361 0.382713 0.023483
364 0.381492 0.07857
367 0.379504 0.00584945
370 0.368345 0.134878
373 0.368828 0.131471
376 0.368345 0.053866
379 0.367493 0.116932
382 0.368373 0.00780873
385 0.368032 0.0521339
388 0.369821 0.0467672
391 0.371497 0.0322855
394 0.37127 0.0338189
397 0.373967 0.148139
400 0.373229 0.0758157
403 0.37232 0.0563648
406 0.371781 0.0400943
409 0.373002 0.0138569
412 0.386149 0.0391572
415 0.410626 0.0971122
418 0.426243 0.124031
421 0.424908 0.189085
424 0.435301 0.173723
427 0.443394 0.169009
430 0.463469 0.211744
433 0.509782 0.235369
436 0.551694 0.247239
439 0.559957 0.262771
442 0.569611 0.327768
445 0.580998 0.342732
448 0.588125 0.325837
451 0.592242 0.319476
