frame_number static_density dynamic_density
1 0.160207 0.193912
4 0.172757 0.15856
7 0.175114 0.155692
10 0.175682 0.13519
13 0.176903 0.189028
16 0.178266 0.196382
19 0.177301 0.132095
22 0.17642 0.308459
25 0.175739 0.0731181
28 0.175767 0.241758
31 0.176619 0.122611
34 0.176307 0.0504302
37 0.177244 0.0647983
40 0.177358 0.129341
43 0.202317 0.0598007
46 0.223983 0.165744
49 0.244569 0.0996962
52 0.261465 0.115115
55 0.27322 0.113723
58 0.282903 0.121135
61 0.293835 0.162876
64 0.302326 0.169776
67 0.311526 0.160973
70 0.310645 0.307153
73 0.322969 0.0731749
76 0.330011 0.0682909
79 0.333191 0.083596
82 0.343243 0.0934776
85 0.343698 0.1313
88 0.344294 0.090638
91 0.348724 0.143311
94 0.345856 0.129227
97 0.349178 0.316069
100 0.35906 0.166681
103 0.365449 0.0902121
106 0.355822 0.15785
109 0.337365 0.152966
112 0.332169 0.120993
115 0.330579 0.113156
118 0.328506 0.0538376
121 0.329358 0.176307
124 0.331516 0.145299
127 0.331544 0.0741119
130 0.339012 0.0333362
133 0.342647 0.0681773
136 0.354573 0.0952097
139 0.362723 0.106028
142 0.36826 0.127183
145 0.360252 0.220944
148 0.364284 0.124457
151 0.369282 0.130789
154 0.376579 0.105262
157 0.377942 0.172843
160 0.373939 0.160122
163 0.374961 0.162933
166 0.378198 0.198029
169 0.385382 0.193259
172 0.382599 0.194594
175 0.384218 0.200954
178 0.38348 0.136809
181 0.384019 0.0688304
184 0.382457 0.233978
187 0.372973 0.11537
190 0.373456 0.136468
193 0.366045 0.103132
196 0.363688 0.167419
199 0.362069 0.065139
202 0.357583 0.0664168
205 0.355567 0.100378
208 0.352841 0.0389869
211 0.35233 0.133941
214 0.351535 0.0406622
217 0.34932 0.0277423
220 0.35463 0.30755
223 0.354942 0.0705909
226 0.354687 0.165999
229 0.354176 0.123009
232 0.354176 0.0431326
235 0.356987 0.0577278
238 0.357242 0.0272028
241 0.360536 0.0519351
244 0.373712 0.019536
247 0.369679 0.0974245
250 0.367777 0.0921714
253 0.365789 0.0724366
256 0.367919 0.0622711
259 0.369112 0.0558537
262 0.367607 0.0794503
265 0.370531 0.12352
268 0.368941 0.0947838
271 0.361587 0.242099
274 0.36136 0.0795071
277 0.362808 0.0718687
280 0.350513 0.0759576
283 0.346736 0.060397
286 0.345089 0.0300423
289 0.344322 0.0511117
292 0.341511 0.094301
295 0.347304 0.2904
298 0.346054 0.0787404
301 0.346509 0.116393
304 0.347645 0.103757
307 0.347843 0.173127
310 0.347077 0.0994974
313 0.345458 0.0938183
316 0.344237 0.0799046
319 0.342562 0.143311
322 0.335974 0.226425
325 0.333447 0.137008
328 0.333419 0.129682
331 0.33092 0.0911492
334 0.331062 0.0983332
